16171,16246;Abraham;68
16174,16240;Alvin;68
16173,16228;Anthrax;75
16172,16240;Aykuut;70
16199,16425;Bird;153
16184,16233;Brunhilde;61
16263,16545;Brötchen;273
16173,16251;Conan;63
16198,16440;Croover;168
16196,16442;Donnerkuppel;170
16219,16424;Dumbo 2;152
16191,16460;Dumbo;188
16199,16423;Eagle;151
16171,16242;Eriol;70
16170,16244;Erna Schabulski;70
16201,16356;Fisch;84
16170,16235;Flip;74
16172,16249;Gargamel;65
16197,16442;Gleis9;170
16174,16248;Guliver;64
16191,16419;H1;147
16200,16375;Helium;103
16200,16376;Hera;104
16172,16241;Herbert;69
16175,16246;HijikataToshizo;64
16175,16433;Jano;161
16199,16439;Killer;167
16199,16472;Kranzberg12;200
16172,16236;Krash;72
16198,16444;Kursk;172
16171,16234;Maja;74
16172,16245;Maori;67
16174,16222;Metallica;63
16171,16247;Mombat;67
16172,16250;Neo;65
16173,16252;Neuanfang;63
16173,16226;Nirvana;76
16173,16233;Nordstern;72
16172,16247;Pfiffikus;66
16169,16246;Pinocchio;70
16171,16230;Puck;76
16171,16238;Ralf von Harpen;72
16173,16235;RB;71
16175,16244;RB2;65
16173,16238;RB3;70
16172,16237;Red Stone;71
16174,16242;Ronja;67
16198,16432;Roter Baron;160
16172,16243;Roter Baron2;68
16173,16231;Slayer;73
16198,16436;Songwriter;164
16174,16234;Starlett;71
16197,16432;Streicher;160
16172,16228;Thekla;76
16171,16232;Willi;71
16199,16226;Zeltlager1;50
16201,16225;Zeltlager2;48
16171,16244;Zora;69
16170,16246;Flipper;69
