16171,16246;Abraham;74
16174,16240;Alvin;68
16173,16228;Anthrax;71
16172,16240;Aykuut;70
16170,16260;Bandidos;82
16199,16425;Bird;324
16184,16233;Brunhilde;57
16173,16251;Conan;204
16196,16442;Donnerkuppel;206
16191,16460;Dumbo;188
16219,16424;Dumbo 2;188
16199,16423;Eagle;187
16171,16242;Eriol;72
16170,16244;Erna Schabulski;74
16201,16356;Fisch;120
16170,16235;Flip;70
16172,16249;Gargamel;74
16197,16442;Gleis9;206
16174,16248;Guliver;72
16191,16419;H1;183
16200,16375;Helium;139
16200,16376;Hera;140
16172,16241;Herbert;70
16175,16246;HijikataToshizo;70
16175,16433;Jano;197
16199,16439;Killer;203
16199,16472;Kranzberg12;236
16172,16236;Krash;68
16198,16444;Kursk;208
16171,16234;Maja;70
16172,16245;Maori;72
16171,16247;Mombat;74
16172,16250;Neo;75
16173,16252;Neuanfang;75
16173,16226;Nirvana;72
16173,16233;Nordstern;68
16172,16247;Pfiffikus;73
16169,16246;Pinocchio;76
16171,16230;Puck;72
16171,16238;Ralf von Harpen;70
16173,16235;RB;67
16175,16244;RB2;69
16173,16238;RB3;68
16172,16237;Red Stone;68
16174,16242;Ronja;69
16172,16243;Roter Baron2;71
16173,16231;Slayer;69
16198,16436;Songwriter;200
16174,16234;Starlett;67
16197,16432;Streicher;196
16172,16228;Thekla;72
16171,16232;Willi;67
16199,16226;Zeltlager1;46
16201,16225;Zeltlager2;44
16171,16244;Zora;73
16241,16370;Z6;134
16170,16246;Flipper;75
16198,16440;Croover;204
16198,16432;Roter Baron;196
