16171,16246;Abraham;6
16173,16228;Anthrax;24
16199,16425;Bird;173
16174,16240;Alvin;12
16172,16240;Aykuut;12
16263,16545;Brötchen;293
16173,16251;Conan;1
16198,16440;Croover;188
16196,16442;Donnerkuppel;190
16199,16423;Eagle;171
16171,16242;Eriol;10
16170,16244;Erna;0
16170,16235;Flip;17
16170,16246;Flipper;6
16172,16249;Gargamel;3
16197,16442;Gleis9;190
16174,16248;Guliver;4
16191,16419;H1;167
16200,16375;Helium;123
16200,16376;Hera;124
16172,16241;Herbert;11
16175,16246;HijikataToshizo;6
16173,16225;IronMaidon;27
16175,16433;Jano;181
16199,16439;Killer;187
16199,16472;Kranzberg12;220
16172,16236;Krash;16
16198,16444;Kursk;192
16171,16234;Maja;18
16172,16245;Maori;7
16174,16222;Metallica;30
16171,16247;Mombat;5
16172,16250;Neo;2
16173,16226;Nirvana;26
16173,16233;Nordstern;19
16172,16247;Pfiffikus;5
16169,16246;Pinocchio;7
16171,16230;Puck;22
16171,16238;Ralf von Harpen;14
16173,16235;RB;17
16175,16244;RB2;8
16173,16238;RB3;14
16172,16237;RedStone;15
16174,16242;Ronja;10
16198,16432;RoterBaron;180
16172,16243;RoterBaron2;9
16173,16231;Slayer;21
16198,16436;Songwriter;184
16174,16234;Starlett;18
16197,16432;Streicher;180
16172,16228;Thekla;24
16171,16232;Willi;20
16241,16370;Z6;127
16199,16226;Zeltlager1;39
16201,16225;Zeltlager2;42
16171,16244;Zora;8
16153,16229;Darth Vader;31
16184,16233;Brunhilde;21
16219,16424;Dumbo 2;172
16191,16460;Dumbo;208
16201,16356;Fisch;104
16170,16260;Magda 1;8
16262,16469;Faxe;217
16240,16236;Ghost-0069Armee;75
16226,16272;GhostKorps;63
16292,16353;App3;170
16151,16335;Boba Fett;83
