Abraham;16171,16246;280;-1;-1
Alvin;16174,16240;263;-1;-1
Anthrax;16173,16228;259;-1;-1
Aykuut;16172,16240;280;-1;-1
Bird;16199,16425;309;-1;-1
Brunhilde;16184,16233;230;-1;0
Brötchen;16263,16545;306;-1;-1
Conan;16173,16251;229;-1;-1
Croover;16198,16440;307;-1;-1
Darth Vader;16153,16229;194;-1;0
Donnerkuppel;16196,16442;309;-1;-1
Eagle;16199,16423;315;-1;-1
Eriol;16171,16242;281;-1;-1
Erna Schabulski;16170,16244;275;-1;-1
Faxe;16262,16469;270;-1;0
Flip;16170,16235;213;-1;0
Flipper;16170,16246;272;-1;-1
Gargamel;16172,16249;306;-1;-1
Gleis9;16197,16442;306;-1;-1
Guliver;16174,16248;298;-1;-1
H1;16191,16419;285;-1;-1
Helium;16200,16375;315;-1;-1
Hera;16200,16376;315;-1;-1
Herbert;16172,16241;307;-1;-1
HijikataToshizo;16175,16246;236;-1;-1
IronMaidon;16173,16225;189;-1;0
Jano;16175,16433;307;-1;-1
Killer;16199,16439;306;-1;-1
Kranzberg12;16199,16472;315;-1;-1
Krash;16172,16236;250;-1;-1
Kursk;16198,16444;306;-1;-1
Maja;16171,16234;222;-1;0
Maori;16172,16245;308;-1;-1
Metallica;16174,16222;189;-1;0
Mombat;16171,16247;299;-1;-1
Neo;16172,16250;283;-1;-1
Neuanfang;16173,16252;279;-1;-1
Nirvana;16173,16226;258;-1;-1
Nordstern;16173,16233;304;-1;-1
Pfiffikus;16172,16247;306;-1;-1
Pinocchio;16169,16246;276;-1;-1
Puck;16171,16230;211;-1;0
RalfVonHarpen;16171,16238;270;-1;-1
RB;16173,16235;280;-1;-1
RB2;16175,16244;283;-1;-1
RB3;16173,16238;284;-1;-1
RedStone;16172,16237;298;-1;-1
Ronja;16174,16242;299;-1;-1
RoterBaron;16198,16432;311;-1;-1
RoterBaron2;16172,16243;306;-1;-1
Slayer;16173,16231;262;-1;-1
Songwriter;16198,16436;307;-1;-1
Starlett;16174,16234;241;-1;-1
Streicher;16197,16432;307;-1;-1
Thekla;16172,16228;189;-1;0
Willi;16171,16232;201;-1;0
Z6;16241,16370;315;-1;-1
Zeltlager1;16199,16226;237;-1;-1
Zeltlager2;16201,16225;243;-1;-1
Zora;16171,16244;299;-1;-1
