Abraham;16171,16246;100;-1;0
Alvin;16174,16240;2;-1;0
Anthrax;16173,16228;0;0;0
Aykuut;16172,16240;0;0;0
Bird;16199,16425;0;0;0
Brunhilde;16184,16233;0;0;0
Brötchen;16263,16545;0;0;0
Conan;16173,16251;0;0;0
Croover;16198,16440;0;0;0
Darth Vader;16153,16229;0;0;0
Donnerkuppel;16196,16442;0;0;0
Eagle;16199,16423;0;0;0
Eriol;16171,16242;0;0;0
Erna Schabulski;16170,16244;0;0;0
Faxe;16262,16469;0;0;0
Flip;16170,16235;0;0;0
Flipper;16170,16246;0;0;0
Gargamel;16172,16249;0;0;0
Gleis9;16197,16442;0;0;0
Guliver;16174,16248;0;0;0
H1;16191,16419;0;0;0
Helium;16200,16375;0;0;0
Hera;16200,16376;0;0;0
Herbert;16172,16241;0;0;0
HijikataToshizo;16175,16246;0;0;0
IronMaidon;16173,16225;0;0;0
Jano;16175,16433;0;0;0
Killer;16199,16439;0;0;0
Kranzberg12;16199,16472;0;0;0
Krash;16172,16236;0;0;0
Kursk;16198,16444;0;0;0
Maja;16171,16234;0;0;0
Maori;16172,16245;0;0;0
Metallica;16174,16222;0;0;0
Mombat;16171,16247;0;0;0
Neo;16172,16250;0;0;0
Neuanfang;16173,16252;0;0;0
Nirvana;16173,16226;0;0;0
Nordstern;16173,16233;0;0;0
Pfiffikus;16172,16247;0;0;0
Pinocchio;16169,16246;0;0;0
Puck;16171,16230;0;0;0
RalfVonHarpen;16171,16238;0;0;0
RB;16173,16235;0;0;0
RB2;16175,16244;0;0;0
RB3;16173,16238;0;0;0
RedStone;16172,16237;0;0;0
Ronja;16174,16242;0;0;0
RoterBaron;16198,16432;0;0;0
RoterBaron2;16172,16243;0;0;0
Slayer;16173,16231;0;0;0
Songwriter;16198,16436;0;0;0
Starlett;16174,16234;0;0;0
Streicher;16197,16432;0;0;0
Thekla;16172,16228;0;0;0
Willi;16171,16232;0;0;0
Z6;16241,16370;0;0;0
Zeltlager1;16199,16226;0;0;0
Zeltlager2;16201,16225;0;0;0
Zora;16171,16244;0;0;0
