Abraham;16171,16246;305;-1;-1
Alabama;16163,16247;300;-1;-1
Alaska;16165,16246;281;-1;0
Alvin;16174,16240;294;-1;-1
Anthrax;16173,16228;289;-1;-1
Arizona;16165,16242;266;-1;-1
Arkansas;16167,16250;269;-1;-1
Aykuut;16172,16240;306;-1;-1
Bandidos;16170,16260;304;-1;-1
Bird;16199,16425;309;-1;-1
Boba Fett;16151,16335;187;0;0
Bones;16170,16262;299;-1;-1
Boozefighters;16169,16260;289;-1;-1
Brunhilde;16184,16233;270;-1;0
Brötchen;16263,16545;306;-1;-1
Cavemen;16169,16259;290;-1;-1
Colorado;16169,16254;281;-1;-1
Conan;16173,16251;271;-1;-1
Croover;16198,16440;307;-1;-1
Darth Vader;16153,16229;233;-1;-1
Devils Diciples;16170,16257;276;-1;0
Donnerkuppel;16196,16442;309;-1;-1
Dumbo;16191,16460;305;-1;-1
Dumbo 2;16219,16424;313;-1;-1
Eagle;16199,16423;315;-1;-1
Eriol;16171,16242;306;-1;-1
Erna Schabulski;16170,16244;288;-1;-1
Faxe;16262,16469;270;-1;0
Fisch;16201,16356;299;-1;0
Flip;16170,16235;267;-1;0
Flipper;16170,16246;297;-1;-1
Gargamel;16172,16249;306;-1;-1
Ghost Riders;16171,16256;269;-1;-1
Gleis9;16197,16442;306;-1;-1
Guliver;16174,16248;306;-1;-1
H1;16191,16419;306;-1;-1
Helium;16200,16375;315;-1;-1
Hera;16200,16376;315;-1;-1
Herbert;16172,16241;307;-1;-1
HijikataToshizo;16175,16246;274;-1;-1
IronMaidon;16173,16225;241;-1;0
Jano;16175,16433;307;-1;-1
Killer;16199,16439;306;-1;-1
Kranzberg12;16199,16472;315;-1;-1
Krash;16172,16236;281;-1;-1
Kursk;16198,16444;306;-1;-1
Maja;16171,16234;255;-1;0
Maori;16172,16245;308;-1;-1
Metallica;16174,16222;237;-1;0
Mombat;16171,16247;306;-1;-1
Neo;16172,16250;307;-1;-1
Neuanfang;16173,16252;303;-1;-1
Nirvana;16173,16226;285;-1;-1
Nordstern;16173,16233;306;-1;-1
Pfiffikus;16172,16247;306;-1;-1
Pinocchio;16169,16246;296;-1;-1
Puck;16171,16230;251;-1;-1
Ralf von Harpen;16171,16238;295;-1;-1
RB;16173,16235;305;-1;-1
RB2;16175,16244;306;-1;-1
RB3;16173,16238;306;-1;-1
Red Stone;16172,16237;306;-1;-1
Ronja;16174,16242;306;-1;-1
Roter Baron;16198,16432;311;-1;-1
Roter Baron2;16172,16243;306;-1;-1
Slayer;16173,16231;291;-1;-1
Songwriter;16198,16436;307;-1;-1
Starlett;16174,16234;276;-1;-1
Streicher;16197,16432;307;-1;-1
Thekla;16172,16228;249;-1;0
Willi;16171,16232;253;-1;-1
Z6;16241,16370;315;-1;-1
Zeltlager1;16199,16226;277;-1;-1
Zeltlager2;16201,16225;279;-1;-1
Zora;16171,16244;307;-1;-1
